miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	Sample ID
hsa-mir-1538	2	1.057215	N	TCGA-AA-3875-01A
hsa-mir-1976	17	8.986327	N	TCGA-AA-3875-01A
hsa-mir-2110	7	3.700252	N	TCGA-AA-3875-01A
hsa-mir-326	13	6.871897	N	TCGA-AA-3875-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3875-01A
hsa-mir-3653	11	5.814682	N	TCGA-AA-3875-01A
hsa-mir-375	48028	25387.958217	N	TCGA-AA-3875-01A
hsa-mir-484	80	42.288595	N	TCGA-AA-3875-01A
hsa-mir-760	3	1.585822	N	TCGA-AA-3875-01A
hsa-mir-1249	14	1.44721	N	TCGA-CM-6679-01A
hsa-mir-1538	3	0.310116	N	TCGA-CM-6679-01A
hsa-mir-1976	35	3.618025	N	TCGA-CM-6679-01A
hsa-mir-2110	17	1.757327	N	TCGA-CM-6679-01A
hsa-mir-326	44	4.548375	N	TCGA-CM-6679-01A
hsa-mir-346	0	0.0	N	TCGA-CM-6679-01A
hsa-mir-3653	26	2.687676	N	TCGA-CM-6679-01A
hsa-mir-375	120890	12496.659787	N	TCGA-CM-6679-01A
hsa-mir-484	346	35.766766	N	TCGA-CM-6679-01A
hsa-mir-760	5	0.516861	N	TCGA-CM-6679-01A
hsa-mir-1249	22	4.560729	N	TCGA-CM-5348-01A
hsa-mir-1538	0	0.0	N	TCGA-CM-5348-01A
hsa-mir-1976	39	8.084929	N	TCGA-CM-5348-01A
hsa-mir-2110	4	0.829223	N	TCGA-CM-5348-01A
hsa-mir-326	22	4.560729	N	TCGA-CM-5348-01A
hsa-mir-346	0	0.0	N	TCGA-CM-5348-01A
hsa-mir-3653	3	0.621918	N	TCGA-CM-5348-01A
hsa-mir-375	64888	13451.663526	N	TCGA-CM-5348-01A
hsa-mir-484	74	15.340635	N	TCGA-CM-5348-01A
hsa-mir-760	1	0.207306	N	TCGA-CM-5348-01A
hsa-mir-1249	9	3.113145	N	TCGA-G4-6321-01A
hsa-mir-1538	0	0.0	N	TCGA-G4-6321-01A
hsa-mir-1976	33	11.414866	N	TCGA-G4-6321-01A
hsa-mir-2110	12	4.15086	N	TCGA-G4-6321-01A
hsa-mir-326	11	3.804955	N	TCGA-G4-6321-01A
hsa-mir-346	0	0.0	N	TCGA-G4-6321-01A
hsa-mir-3653	4	1.38362	N	TCGA-G4-6321-01A
hsa-mir-375	185796	64267.769227	N	TCGA-G4-6321-01A
hsa-mir-484	131	45.313558	N	TCGA-G4-6321-01A
hsa-mir-760	1	0.345905	N	TCGA-G4-6321-01A
hsa-mir-1249	13	2.572918	N	TCGA-A6-6141-01A
hsa-mir-1538	1	0.197917	N	TCGA-A6-6141-01A
hsa-mir-1976	54	10.687508	N	TCGA-A6-6141-01A
hsa-mir-2110	13	2.572918	N	TCGA-A6-6141-01A
hsa-mir-326	49	9.697924	N	TCGA-A6-6141-01A
hsa-mir-346	0	0.0	N	TCGA-A6-6141-01A
hsa-mir-3653	107	21.177098	N	TCGA-A6-6141-01A
hsa-mir-375	195052	38604.069011	N	TCGA-A6-6141-01A
hsa-mir-484	366	72.437551	N	TCGA-A6-6141-01A
hsa-mir-760	5	0.989584	N	TCGA-A6-6141-01A
hsa-mir-1249	2	0.328539	N	TCGA-D5-5540-01A
hsa-mir-1538	1	0.16427	N	TCGA-D5-5540-01A
hsa-mir-1976	16	2.628314	N	TCGA-D5-5540-01A
hsa-mir-2110	7	1.149888	N	TCGA-D5-5540-01A
hsa-mir-326	2	0.328539	N	TCGA-D5-5540-01A
hsa-mir-346	0	0.0	N	TCGA-D5-5540-01A
hsa-mir-3653	5	0.821348	N	TCGA-D5-5540-01A
hsa-mir-375	22885	3759.310803	N	TCGA-D5-5540-01A
hsa-mir-484	142	23.326289	N	TCGA-D5-5540-01A
hsa-mir-760	5	0.821348	N	TCGA-D5-5540-01A
hsa-mir-1249	1	0.239553	N	TCGA-A6-6140-01A
hsa-mir-1538	2	0.479106	N	TCGA-A6-6140-01A
hsa-mir-1976	37	8.863462	N	TCGA-A6-6140-01A
hsa-mir-2110	20	4.791061	N	TCGA-A6-6140-01A
hsa-mir-326	17	4.072402	N	TCGA-A6-6140-01A
hsa-mir-346	1	0.239553	N	TCGA-A6-6140-01A
hsa-mir-3653	71	17.008265	N	TCGA-A6-6140-01A
hsa-mir-375	63946	15318.458208	N	TCGA-A6-6140-01A
hsa-mir-484	271	64.918872	N	TCGA-A6-6140-01A
hsa-mir-760	4	0.958212	N	TCGA-A6-6140-01A
hsa-mir-1249	7	1.557304	N	TCGA-G4-6298-01A
hsa-mir-1538	1	0.222472	N	TCGA-G4-6298-01A
hsa-mir-1976	22	4.894385	N	TCGA-G4-6298-01A
hsa-mir-2110	2	0.444944	N	TCGA-G4-6298-01A
hsa-mir-326	16	3.559553	N	TCGA-G4-6298-01A
hsa-mir-346	0	0.0	N	TCGA-G4-6298-01A
hsa-mir-3653	8	1.779776	N	TCGA-G4-6298-01A
hsa-mir-375	86881	19328.592751	N	TCGA-G4-6298-01A
hsa-mir-484	256	56.952841	N	TCGA-G4-6298-01A
hsa-mir-760	3	0.667416	N	TCGA-G4-6298-01A
hsa-mir-1249	8	2.171584	N	TCGA-5M-AATE-01A
hsa-mir-1538	0	0.0	N	TCGA-5M-AATE-01A
hsa-mir-1976	27	7.329098	N	TCGA-5M-AATE-01A
hsa-mir-2110	8	2.171584	N	TCGA-5M-AATE-01A
hsa-mir-326	8	2.171584	N	TCGA-5M-AATE-01A
