miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	Sample ID
hsa-mir-375	33971	21178.927681	N	TCGA-BH-A18P-01A
hsa-mir-429	202	125.935162	N	TCGA-BH-A18P-01A
hsa-mir-592	1	0.623441	N	TCGA-BH-A18P-01A
hsa-mir-190b	150	12.630427	N	TCGA-AC-A2QI-01A
hsa-mir-301b	1	0.084203	N	TCGA-AC-A2QI-01A
hsa-mir-375	46825	3942.798312	N	TCGA-AC-A2QI-01A
hsa-mir-429	1449	122.009925	N	TCGA-AC-A2QI-01A
hsa-mir-592	22	1.852463	N	TCGA-AC-A2QI-01A
hsa-mir-190b	160	64.236338	N	TCGA-C8-A1HN-01A
hsa-mir-301b	15	6.022157	N	TCGA-C8-A1HN-01A
hsa-mir-375	33984	13643.798263	N	TCGA-C8-A1HN-01A
hsa-mir-429	544	218.40355	N	TCGA-C8-A1HN-01A
hsa-mir-592	43	17.263516	N	TCGA-C8-A1HN-01A
hsa-mir-190b	263	22.584793	N	TCGA-AR-A24Z-01A
hsa-mir-301b	30	2.576212	N	TCGA-AR-A24Z-01A
hsa-mir-375	1040236	89328.951712	N	TCGA-AR-A24Z-01A
hsa-mir-429	2400	206.096967	N	TCGA-AR-A24Z-01A
hsa-mir-592	30	2.576212	N	TCGA-AR-A24Z-01A
hsa-mir-190b	75	28.066562	N	TCGA-C8-A1HI-01A
hsa-mir-301b	0	0.0	N	TCGA-C8-A1HI-01A
hsa-mir-375	53043	19849.795245	N	TCGA-C8-A1HI-01A
hsa-mir-429	269	100.665402	N	TCGA-C8-A1HI-01A
hsa-mir-592	6	2.245325	N	TCGA-C8-A1HI-01A
hsa-mir-190b	43	28.822694	N	TCGA-A8-A092-01A
hsa-mir-301b	11	7.373247	N	TCGA-A8-A092-01A
hsa-mir-375	38409	25745.36826	N	TCGA-A8-A092-01A
hsa-mir-429	222	148.805534	N	TCGA-A8-A092-01A
hsa-mir-592	9	6.032657	N	TCGA-A8-A092-01A
hsa-mir-190b	61	58.128288	N	TCGA-D8-A1JT-01A
hsa-mir-301b	1	0.952923	N	TCGA-D8-A1JT-01A
hsa-mir-375	8943	8521.988216	N	TCGA-D8-A1JT-01A
hsa-mir-429	189	180.102401	N	TCGA-D8-A1JT-01A
hsa-mir-592	6	5.717537	N	TCGA-D8-A1JT-01A
hsa-mir-190b	20	12.523089	N	TCGA-A2-A0CP-01A
hsa-mir-301b	0	0.0	N	TCGA-A2-A0CP-01A
hsa-mir-375	20017	12533.734072	N	TCGA-A2-A0CP-01A
hsa-mir-429	159	99.558561	N	TCGA-A2-A0CP-01A
hsa-mir-592	4	2.504618	N	TCGA-A2-A0CP-01A
hsa-mir-190b	63	23.042376	N	TCGA-BH-A0HF-01A
hsa-mir-301b	1	0.365752	N	TCGA-BH-A0HF-01A
hsa-mir-375	28869	10558.894668	N	TCGA-BH-A0HF-01A
hsa-mir-429	157	57.423065	N	TCGA-BH-A0HF-01A
hsa-mir-592	15	5.48628	N	TCGA-BH-A0HF-01A
hsa-mir-190b	83	61.502757	N	TCGA-A7-A0DC-01A
hsa-mir-301b	0	0.0	N	TCGA-A7-A0DC-01A
hsa-mir-375	9767	7237.318391	N	TCGA-A7-A0DC-01A
hsa-mir-429	244	180.803285	N	TCGA-A7-A0DC-01A
hsa-mir-592	21	15.560938	N	TCGA-A7-A0DC-01A
hsa-mir-190b	86	49.613018	N	TCGA-AR-A1AS-01A
hsa-mir-301b	3	1.730687	N	TCGA-AR-A1AS-01A
hsa-mir-375	13757	7936.352266	N	TCGA-AR-A1AS-01A
hsa-mir-429	214	123.455651	N	TCGA-AR-A1AS-01A
hsa-mir-592	11	6.345851	N	TCGA-AR-A1AS-01A
hsa-mir-190b	26	23.78589	N	TCGA-A8-A08O-01A
hsa-mir-301b	3	2.744526	N	TCGA-A8-A08O-01A
hsa-mir-375	5514	5044.438447	N	TCGA-A8-A08O-01A
hsa-mir-429	99	90.569352	N	TCGA-A8-A08O-01A
hsa-mir-592	0	0.0	N	TCGA-A8-A08O-01A
hsa-mir-190b	15	6.482285	N	TCGA-B6-A0IN-01A
hsa-mir-301b	6	2.592914	N	TCGA-B6-A0IN-01A
hsa-mir-375	284855	123100.744642	N	TCGA-B6-A0IN-01A
hsa-mir-429	624	269.663038	N	TCGA-B6-A0IN-01A
hsa-mir-592	17	7.346589	N	TCGA-B6-A0IN-01A
hsa-mir-190b	16	10.456519	N	TCGA-A2-A0T4-01A
hsa-mir-301b	0	0.0	N	TCGA-A2-A0T4-01A
hsa-mir-375	4332	2831.102392	N	TCGA-A2-A0T4-01A
hsa-mir-429	32	20.913037	N	TCGA-A2-A0T4-01A
hsa-mir-592	1	0.653532	N	TCGA-A2-A0T4-01A
hsa-mir-190b	179	55.105595	N	TCGA-OL-A5D8-01A
hsa-mir-301b	4	1.23141	N	TCGA-OL-A5D8-01A
hsa-mir-375	28070	8641.419274	N	TCGA-OL-A5D8-01A
hsa-mir-429	987	303.850403	N	TCGA-OL-A5D8-01A
hsa-mir-592	25	7.696312	N	TCGA-OL-A5D8-01A
hsa-mir-190b	76	8.812989	N	TCGA-OL-A5RU-01A
hsa-mir-301b	3	0.347881	N	TCGA-OL-A5RU-01A
hsa-mir-375	126406	14658.087918	N	TCGA-OL-A5RU-01A
hsa-mir-429	1013	117.467866	N	TCGA-OL-A5RU-01A
hsa-mir-592	22	2.551128	N	TCGA-OL-A5RU-01A
hsa-mir-190b	100	10.8441	N	TCGA-XX-A899-01A
hsa-mir-301b	1	0.108441	N	TCGA-XX-A899-01A
hsa-mir-375	60149	6522.617974	N	TCGA-XX-A899-01A
hsa-mir-429	570	61.811373	N	TCGA-XX-A899-01A
hsa-mir-592	2	0.216882	N	TCGA-XX-A899-01A
hsa-mir-190b	4	0.854008	N	TCGA-AC-A2QJ-01A
hsa-mir-301b	6	1.281012	N	TCGA-AC-A2QJ-01A
hsa-mir-375	533	113.796539	N	TCGA-AC-A2QJ-01A
hsa-mir-429	46	9.82109	N	TCGA-AC-A2QJ-01A
hsa-mir-592	1	0.213502	N	TCGA-AC-A2QJ-01A
hsa-mir-190b	181	13.658539	N	TCGA-GM-A5PX-01A
hsa-mir-301b	1	0.075462	N	TCGA-GM-A5PX-01A
hsa-mir-375	105328	7948.213459	N	TCGA-GM-A5PX-01A
